Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1           US   2024   8 36FNJMC86.67     JULY      2024Lecture 13                    
1           US   2024   8 36FNPYC20.00     APRIL     2025Lecture 3                     
2           US   2016   8 68UYJMC33.33     OCTOBER   2022Lecture 5                     
2           US   2016   8 68UYPYC20.00     OCTOBER   2017Lecture 3                     
3           US   2017   5 60UYJMC73.33     APRIL     2018Lecture 11                    
3           US   2017   5 60UYPYC86.67     MARCH     2025Lecture 13                    
4           GB   2015   9 30UNJMC66.67     MARCH     2021Lecture 10                    
4           GB   2015   9 30UNPYC93.33     AUGUST    2021Lecture 14                    
5           CN   2023   6 27FNJMC40.00     MARCH     2024Lecture 6                     
5           CN   2023   6 27FNPYC20.00     MAY       2023Lecture 3                     
6           CN   2021   4 30FYJMC86.67     AUGUST    2024Lecture 13                    
6           CN   2021   4 30FYPYC66.67     FEBRUARY  2025Lecture 10                    
7           IN   2023   1 23MYJMC60.00     APRIL     2025Lecture 9                     
7           IN   2023   1 23MYPYC26.67     AUGUST    2023Lecture 4                     
8           US   2023   4 71UYJMC53.33     JUNE      2023Lecture 8                     
8           US   2023   4 71UYPYC40.00     OCTOBER   2025Lecture 6                     
9           IN   2023   8 35FYJMC53.33     JUNE      2024Lecture 8                     
9           IN   2023   8 35FYPYC86.67     NOVEMBER  2025Lecture 13                    
10          IN   2025   6 60UNJMC93.33     JUNE      2025Lecture 14                    
10          IN   2025   6 60UNPYC93.33     FEBRUARY  2025Lecture 14                    
